,rainfall,temperature,fixedDate
0,0.0,26.7,2014-01-01
1,0.0,27.3,2014-01-02
2,22.133333333333336,26.666666666666668,2014-01-03
3,6.133333333333333,26.666666666666668,2014-01-04
4,8.733333333333333,24.933333333333334,2014-01-05
5,30.8,25.166666666666668,2014-01-06
6,2.3333333333333335,26.566666666666666,2014-01-07
7,0.0,27.233333333333334,2014-01-08
8,4.6000000000000005,25.866666666666664,2014-01-09
9,0.0,26.933333333333334,2014-01-10
10,2.6666666666666665,26.73333333333333,2014-01-11
11,6.333333333333333,26.233333333333334,2014-01-12
12,0.0,26.866666666666664,2014-01-13
13,0.0,26.5,2014-01-14
14,0.0,25.900000000000002,2014-01-15
15,0.0,26.066666666666666,2014-01-16
16,0.0,26.0,2014-01-17
17,0.0,26.066666666666666,2014-01-18
18,0.0,25.933333333333334,2014-01-19
19,0.0,25.8,2014-01-20
20,0.0,25.8,2014-01-21
21,0.0,25.53333333333333,2014-01-22
22,0.0,25.833333333333332,2014-01-23
23,0.0,25.733333333333334,2014-01-24
24,0.0,25.833333333333332,2014-01-25
25,0.0,25.666666666666668,2014-01-26
26,0.0,25.866666666666664,2014-01-27
27,0.0,26.566666666666666,2014-01-28
28,0.0,26.599999999999998,2014-01-29
29,0.0,26.033333333333335,2014-01-30
30,0.0,26.400000000000002,2014-01-31
31,0.0,26.0,2014-02-01
32,0.0,25.766666666666666,2014-02-02
33,0.0,26.400000000000002,2014-02-03
34,0.0,26.566666666666663,2014-02-04
35,0.0,26.366666666666664,2014-02-05
36,0.0,26.53333333333333,2014-02-06
37,0.0,26.7,2014-02-07
38,2.8666666666666667,26.766666666666666,2014-02-08
39,0.0,27.333333333333332,2014-02-09
40,0.0,27.7,2014-02-10
41,0.0,27.566666666666663,2014-02-11
42,0.0,27.5,2014-02-12
43,1.5999999999999999,27.833333333333332,2014-02-13
44,16.8,27.233333333333334,2014-02-14
45,0.19999999999999998,27.566666666666666,2014-02-15
46,0.19999999999999998,27.433333333333334,2014-02-16
47,0.0,27.666666666666668,2014-02-17
48,0.0,27.63333333333333,2014-02-18
49,0.0,27.666666666666668,2014-02-19
50,0.0,27.8,2014-02-20
51,0.0,27.633333333333336,2014-02-21
52,0.0,27.900000000000002,2014-02-22
53,0.0,27.399999999999995,2014-02-23
54,0.0,27.233333333333334,2014-02-24
55,0.0,26.96666666666667,2014-02-25
56,0.0,27.433333333333334,2014-02-26
57,0.0,27.666666666666668,2014-02-27
59,0.0,27.46666666666667,2014-03-01
60,0.0,27.833333333333332,2014-03-02
61,0.0,27.766666666666666,2014-03-03
62,0.0,27.700000000000003,2014-03-04
63,0.0,27.766666666666666,2014-03-05
64,0.0,27.566666666666666,2014-03-06
65,0.0,27.666666666666668,2014-03-07
66,0.0,27.866666666666664,2014-03-08
67,0.0,27.666666666666668,2014-03-09
68,0.0,27.8,2014-03-10
69,0.0,28.166666666666668,2014-03-11
70,0.0,28.166666666666668,2014-03-12
71,0.0,28.333333333333332,2014-03-13
72,0.0,28.666666666666668,2014-03-14
73,0.0,28.666666666666668,2014-03-15
74,38.86666666666667,25.96666666666667,2014-03-16
75,7.400000000000001,26.0,2014-03-17
76,12.266666666666667,26.766666666666666,2014-03-18
77,19.133333333333333,26.733333333333334,2014-03-19
78,3.0,27.233333333333334,2014-03-20
79,7.8,27.433333333333334,2014-03-21
80,0.0,27.46666666666667,2014-03-22
81,0.0,28.066666666666666,2014-03-23
82,0.0,28.2,2014-03-24
83,0.0,28.333333333333332,2014-03-25
